Date,Matchup,Score,Spread Result,Minutes,Prop Line,PTS,REBS,ASSISTS,3s Scored,STEALS,BLOCKS,FGM-FGA (%),FTM-FTA (%),3PM-3PA (%)
3/29,@NOR,W 111-95,-,34,22.5,O 23,4,6,5,3,0,7-21 (33%),4-5 (80%),5-16 (31%)
3/21,TOR,W 117-114,-,25,25.5,U 17,2,1,2,0,1,6-8 (75%),3-5 (60%),2-4 (50%)
3/18,DEN,L 114-105,-,36,25.5,U 20,4,7,4,3,0,6-21 (29%),4-4 (100%),4-14 (29%)
3/16,NYK,W 97-94,-,35,25.5,O 28,7,5,4,0,1,8-20 (40%),8-9 (89%),4-13 (31%)
3/14,SAC,W 130-104,-,30,26.5,U 11,2,5,2,1,1,4-9 (44%),1-1 (100%),2-6 (33%)
3/11,POR,W 130-120,-,34,28.5,U 24,2,3,5,2,0,6-14 (43%),7-7 (100%),5-11 (45%)
3/9,DET,W 115-110,-,33,28.5,P 32,3,4,4,1,0,8-22 (36%),12-12 (100%),4-15 (27%)
3/7,@BKN,W 121-119,-,36,25.5,O 40,4,4,7,0,0,12-20 (60%),9-9 (100%),7-13 (54%)
3/5,@NYK,W 114-102,-,33,26.5,O 28,7,9,5,2,0,10-21 (48%),3-3 (100%),5-9 (56%)
3/4,@CHA,W 119-101,-,30,25.5,U 21,3,10,3,1,1,6-14 (43%),6-8 (75%),3-9 (33%)
3/2,@PHI,L 126-119,-,36,29.5,U 29,5,13,5,1,0,10-18 (56%),4-4 (100%),5-12 (42%)
2/28,@ORL,W 121-115,-,34,24.5,O 56,4,3,12,2,0,16-25 (64%),12-12 (100%),12-19 (63%)
2/26,CHA,W 128-92,-,24,26.5,U 15,4,6,2,1,0,6-14 (43%),1-1 (100%),2-9 (22%)
2/23,DAL,W 126-102,-,29,26.5,O 30,4,7,3,1,0,12-20 (60%),3-3 (100%),3-8 (38%)
2/22,@SAC,W 132-108,-,31,26.5,U 20,1,6,4,2,0,7-13 (54%),2-2 (100%),4-9 (44%)
2/14,@HOU,W 105-98,-,35,25.5,O 27,5,3,5,0,0,7-17 (41%),8-9 (89%),5-13 (38%)
2/13,@DAL,L 111-107,-,37,27.5,U 25,5,8,4,2,0,9-23 (39%),3-4 (75%),4-13 (31%)
2/11,@MIL,W 125-111,-,34,27.5,O 38,6,4,6,0,0,12-24 (50%),8-9 (89%),6-16 (38%)
2/9,@CHI,W 132-111,,34,26.5,O 34,4,6,8,0,1,10-19 (53%),6-8 (75%),8-16 (50%)
2/7,@LAL,L 120-112,,37,25.5,O 37,7,4,6,1,1,13-35 (37%),5-5 (100%),6-20 (30%)
2/6,@UTH,L 131-128,,35,25.5,O 32,1,7,6,0,1,12-31 (39%),2-2 (100%),6-18 (33%)
2/4,ORL,W 104-99,,34,22.5,O 24,1,5,2,1,0,7-21 (33%),8-8 (100%),2-12 (17%)
2/1,PHO,L 130-105,,31,24.5,U 14,3,3,1,0,2,5-14 (36%),3-3 (100%),1-6 (17%)
1/30,OKC,W 116-109,,33,21.5,U 21,1,4,5,1,0,6-15 (40%),4-4 (100%),5-10 (50%)
1/26,LAL,L 118-108,,32,24.5,U 13,1,9,2,2,0,4-17 (24%),3-4 (75%),2-9 (22%)
1/24,CHI,W 131-106,,31,25.5,U 21,4,7,5,0,0,8-19 (42%),0-0 (0%),5-12 (42%)
1/23,@SAC,L 123-117,,34,24.5,U 14,3,12,1,0,0,6-11 (55%),1-1 (100%),1-4 (25%)
1/20,BOS,L 125-85,,27,23.5,U 18,3,4,4,2,0,6-16 (38%),2-2 (100%),4-12 (33%)
1/19,WAS,W 122-114,,34,26.5,U 26,5,6,4,1,1,10-22 (45%),2-2 (100%),4-14 (29%)
1/16,@MIN,W 116-115,,37,23.5,O 31,1,8,7,1,0,10-21 (48%),4-4 (100%),7-12 (58%)
1/14,@TOR,L 104-101,,35,24.5,O 26,7,7,4,1,0,9-17 (53%),4-4 (100%),4-10 (40%)
1/10,@DET,W 107-104,,36,25.5,U 17,9,6,2,2,0,5-21 (24%),5-5 (100%),2-14 (14%)
1/8,MIA,L 114-98,,33,24.5,O 31,7,0,8,1,2,11-22 (50%),1-1 (100%),8-17 (47%)
1/6,SAC,L 129-99,,30,24.5,O 26,7,0,4,1,0,8-12 (67%),6-6 (100%),4-8 (50%)
1/3,PHI,W 139-105,,30,22.5,O 30,6,10,8,1,0,11-15 (73%),0-0 (0%),8-8 (100%)
12/31,CLE,L 113-95,,29,22.5,U 11,2,3,3,1,1,4-14 (29%),0-0 (0%),3-11 (27%)
12/29,PHO,W 109-105,,35,23.5,U 22,6,6,4,1,0,9-22 (41%),0-0 (0%),4-13 (31%)
12/26,LAL,L 115-113,,36,24.5,O 38,1,6,8,0,0,14-24 (58%),2-2 (100%),8-15 (53%)
12/24,IND,L 111-105,,35,24.5,U 10,5,7,2,0,3,2-13 (15%),4-4 (100%),2-9 (22%)
12/22,@MIN,W 113-103,,34,22.5,O 31,3,10,7,1,0,10-21 (48%),4-5 (80%),7-16 (44%)
12/20,@MEM,L 144-93,,24,23.5,U 2,3,1,0,1,1,0-7 (0%),2-2 (100%),0-6 (0%)
12/16,DAL,L 143-133,,35,23.5,O 26,5,10,7,1,0,9-19 (47%),1-1 (100%),7-13 (54%)
12/12,@HOU,L 91-90,,34,25.5,U 19,3,5,3,2,1,8-17 (47%),0-1 (0%),3-9 (33%)
12/9,MIN,W 114-106,,35,23.5,O 30,4,8,5,1,0,8-18 (44%),9-11 (82%),5-11 (45%)
12/7,MIN,L 107-90,,32,23.5,U 23,2,4,3,0,0,6-17 (35%),8-8 (100%),3-9 (33%)
12/4,@DEN,L 119-115,,34,23.5,O 24,7,11,4,0,0,8-23 (35%),4-4 (100%),4-15 (27%)
12/1,@PHO,L 113-105,,32,24.5,U 23,7,4,3,0,0,8-21 (38%),4-5 (80%),3-10 (30%)
11/26,BKN,L 128-120,,29,24.5,O 28,4,7,8,1,0,8-17 (47%),4-4 (100%),8-16 (50%)
11/24,@SAS,L 104-94,,32,24.5,U 14,7,5,3,0,0,5-16 (31%),1-1 (100%),3-10 (30%)
11/23,@NOR,W 112-108,,33,23.5,U 19,7,7,4,1,1,6-13 (46%),3-3 (100%),4-7 (57%)
11/21,ATL,W 120-97,,30,26.5,U 23,4,8,4,2,1,7-10 (70%),5-5 (100%),4-6 (67%)
11/19,@LAC,L 102-99,,32,24.5,O 26,7,6,6,0,1,10-21 (48%),0-0 (0%),6-15 (40%)
11/16,MEM,W 123-118,,26,27.5,U 13,8,5,3,4,0,4-9 (44%),2-2 (100%),3-7 (43%)
11/13,DAL,W 120-117,,35,25.5,O 37,6,9,5,1,2,14-27 (52%),4-5 (80%),5-12 (42%)
11/11,@OKC,W 127-116,,37,23.5,O 36,5,7,7,1,1,13-23 (57%),3-4 (75%),7-13 (54%)
11/9,@CLE,L 136-117,,24,24.5,U 12,1,2,1,2,0,5-10 (50%),1-1 (100%),1-4 (25%)
11/7,@BOS,W 118-112,,34,23.5,O 27,7,9,4,4,1,8-17 (47%),7-7 (100%),4-9 (44%)
11/5,@WAS,W 125-112,,24,23.5,O 24,3,6,4,0,0,7-15 (47%),6-6 (100%),4-9 (44%)
10/28,LAC,L 112-104,,27,24.5,U 18,4,6,4,2,1,6-11 (55%),2-2 (100%),4-7 (57%)
10/26,@UTH,W 127-86,,27,26.5,U 20,3,4,4,2,0,7-20 (35%),2-2 (100%),4-13 (31%)
10/24,@POR,W 140-104,,25,26.5,U 17,9,10,3,2,0,4-10 (40%),6-6 (100%),3-7 (43%)
